,City,Country,Lat,Lng,Hotel Name
438,kodinsk,RU,58.69,99.18,
439,boguchany,RU,58.38,97.45,Gostinitsa Edem
440,morant bay,JM,17.9,-76.43,Barefoot Guest House
441,udachnyy,RU,66.42,112.4,
442,aykhal,RU,66.0,111.5,
443,skerries,IE,53.58,-6.11,Bracken Court Hotel
444,bendigo,AU,-36.77,144.28,Quality Hotel Lakeside
445,san rafael del sur,ML,13.3,-4.9,Hotel Santoro
446,awjilah,LY,29.11,21.29,
447,pangody,RU,65.85,74.49,"Otel' ""Medvezh'ye"""
448,fukue,JP,32.69,128.84,Hotel Sou
449,catuday,PH,16.29,119.81,Hotel G Beach Resort and Restobar
450,gisborne,NZ,-38.65,178.0,Portside Hotel - Heritage Collection
451,namtsy,RU,62.72,129.67,
452,ust-kut,RU,56.79,105.77,"Ust-Kut, Lena Hotel"
453,hovd,MN,48.01,91.64,Well hotel Khovd
454,ixtapa,MX,20.7,-105.2,"The Westin Resort & Spa, Puerto Vallarta"
455,pacific grove,US,38.48,-90.74,Holiday Inn Saint Louis West at Six Flags
456,rosetta,EG,31.4,30.42,Mecca Hotel
457,codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
458,san quintin,ML,13.3,-4.9,Hotel Santoro
459,onega,RU,63.91,38.14,Onezhskaya Gora
460,chimoio,MZ,-19.12,33.48,Hotel Castelo Branco
461,xichang,CN,27.9,102.26,Home Inn
462,pleasanton,US,37.66,-121.87,Four Points by Sheraton Pleasanton
463,macau,MO,22.2,113.55,The St. Regis Zhuhai
464,cervo,ES,43.67,-7.41,Casa Do Mudo
465,saint-pierre,RE,-21.34,55.48,Le Battant Des Lames
466,baoro,CF,5.67,15.97,
467,mamallapuram,IN,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
468,loralai,PK,30.37,68.6,Saddam Hotel & Resturant
469,ahipara,NZ,-35.17,173.17,The Huts
470,riyadh,SA,24.69,46.72,Best Western Plus Fursan Hotel
471,sao filipe,IN,20.51,76.21,Hotel Sai Residency
472,dwarka,IN,22.24,68.97,The Fern Sattva Resort Dwarka
473,ust-omchug,RU,61.15,149.63,
474,adrar,MR,20.5,-10.07,
475,hambantota,LK,6.12,81.12,Jade Green Hotel Hambantota
